Id|Name|County
23956|Medicross Kenya|NAROK
23950|GALOLE MEDICARE|TANA RIVER
23939|Mandingo Dispensary|TANA RIVER
23935|COT|KAKAMEGA
23934|El.Gibhor Medical Clinic|KAKAMEGA
23946|Galole medicare limited|TANA RIVER
23925|Uwanja Wa ndege Dispensary|KILIFI
23924|Chilodi CrossFit Health Centre|KILIFI
23930|BLISS GVS Health Care Eldama  Ravine|BARINGO
23912|Tasneem Medical Clinic|GARISSA
23906|Groma medical and skin clinic|BUSIA
23899|Kabutie Dispensary|NANDI
23897|Bliss Maua|MERU
23896|Shepherd Hospital Maua Medical centre|MERU
23895|Tuti Medical Centre|NAKURU
23884|The Healing Place Medical Centre|TRANS NZOIA
23876|Busia Dental Solutions|BUSIA
23882|Kewapsos Dispensary|ELEGEYO-MARAKWET
23865|Shekina Glory Community Nursing Home|TRANS NZOIA
23858|OTIMONG AGAPE HEALTH CENTER|BUSIA
23857|BLISS GVS HEALTH CARE|BUSIA
23834|Al Rashad Nursing Home|GARISSA
23835|WEST SIDE COTTAGE HOSPITAL MALABA|BUSIA
23832|Lina Medical Clinic|MERU
23828|Kabarnet Bliss Medical Center|BARINGO
23823|Naishorua Medical Clinic|NAROK
23825|Bethany Hill crest Hospital|NAROK
23827|Focus Clinical and Diagnostic Centre Limited Embu|EMBU
23821|Alphil Maternity and Nursing Home|NAKURU
23811|Amane Cottage Hospital|BUSIA
23809|Maupe E.N.T Centre|BUSIA
23807|Busia Medical Imaging Centre|BUSIA
23800|St Johns Nursing home|SIAYA
23799|Yala Branch|SIAYA
23797|Dr. Mburu Joseph Medical Clinic|NAKURU
23796|Maayan Medical Centre|MACHAKOS
23795|Optimal Family Medical Center|THARAKA-NITHI
23794|Jamhuri Maternity & Nursing Home|MANDERA
23793|Gertrudes Childrens Hospital Junction Mall Clinic|NAIROBI
23792|Dr Cecelia Gathoni|NAIROBI
23791|Footsteps To Fertility centre|NAIROBI
23789|ELGON SUNRISE MEDICAL CENTER|BUSIA
23788|Wema Unity Health Care|MOMBASA
23787|Queenteric Annex Hospital|SIAYA
23786|NGARA MAT CLINIC|NAIROBI
23785|Royal Gardens Hospital|TRANS NZOIA
23783|Kapsasur pharmacy and medical centre.|NANDI
23782|New Life Medical Center|MIGORI
23781|OSMAN MEDICAL SERVICES|HOMA BAY
23780|Amazing Grace Medical Clinic|KITUI
23779|Tulinge  Dispensary|BUNGOMA
23778|Focus Clinic|KIRINYAGA
23777|Steken Nyarombo Maternity & Nursing Home|MIGORI
23776|Hopeland Medical Clinic|MERU
23775|Mt Elgon View Clinic|TRANS NZOIA
23774|BEST WING MEDICAL AND OPTICAL CENTRE|MURANG'A
23773|Migwani Medical Centre|KITUI
23772|Freds Medical Services|MERU
23771|OMUKOKO MEDICAL CLINIC|KAKAMEGA
23769|Motongori Medical Center|MIGORI
23767|Gitiri Community Dispensary|MURANG'A
23766|Maundo Ni Meri|LAIKIPIA
23765|Kauthene Choice Medical Clinic|MERU
23770|Obomo Medicare Clinic Omogonchoro|NYAMIRA
23762|Kagio Healthcare Servicex|KIRINYAGA
23761|Hoplan Medical Center|MIGORI
23760|GIFT MEDICAL CENTRE|HOMA BAY
23759|Hosanna|MOMBASA
23764|Kingdom Clinic|BUNGOMA
23757|Medanta Africare LTD Mombasa|MOMBASA
23758|Bethany hill crest hospital|NAKURU
23756|Gidema digital healthcare clinic|TRANS NZOIA
23755|NEOCARE MEMORIAL HOSPITAL|MIGORI
23753|Kirumbi Dispensary|TAITA TAVETA
23752|Mleghwa Dispensary|TAITA TAVETA
23751|Apsolid Diagnostic and Imaging Centre|KILIFI
23750|Faith Medical Clinic (Ndumberi )|KIAMBU
23749|Kings Medical Clinic|KIAMBU
23748|Tamam Health Care Services|KIAMBU
23747|Mangs Health Care Clinic|BUNGOMA
23754|CHEPTERIT MEDICAL CENTRE|NANDI
23745|Waberi Hospital|GARISSA
23744|Palmed Clinic|MACHAKOS
23743|Unit Healthcare|MACHAKOS
23742|Bliss GVS Health Care -Mega plaza|KISUMU
23741|St.Georges Medical Center|KISUMU
23746|MIDRAR MEDICAL CENTRE|MANDERA
23740|Bliss GVS Healthcare Ltd Emali|MAKUENI
